CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,COMPLAINT,ADDRESS,COUNCILDISTRICT,LOCATION,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
2020 081681-CC,COVID-19,Parks,Social Distancing,,,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCCER GAME OCCURINGSOCIAL DISTANCING,5600 E WILLIAM CANNON DRIVE,2,POINT (-97.7436025 30.17655371),2,25,4,,484,20
2020 081249-CC,COVID-19,Other,Social Distancing,,,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,COVID-19/Education Provided,"COVID 19scissors and scotchcaller letting us know people are not following social distancing, face covering, waiting in the car and very close to each other in the salon. The owners are not doing it themselves either",7415 SOUTHWEST PARKWAY UNIT  200,8,POINT (-97.86825423 30.25595894),8,32,2,73,295,49
2020 081528-CC,COVID-19,Residential,Social Distancing,,,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19DUPLEXSOCIAL DISTANCING,3809 MAPLEWOOD AVENUE,9,POINT (-97.71420677 30.29229693),9,11,10,63,309,74
2020 091717-CC,COVID-19,Other,Face-Covering,,,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,Closed due to Administrative Reasons,"COVID19  SR #: 20-00243838Caller stated they are at 100% capacity. Stated that the business isn't cleaning. Nobody is required to wear a mask. Caller stated he advised he job he wasn't comfortable working until they followed property guidelines and stated he was fire. Caller stated that HR advised him it was ridiculous to hire anybody to clean and for him to be proactive to clean the hotel and find cleaning products. Caller was front desk agent not housekeeping, stated they cleaning procedures are the same as before the pandemic and they don't have time to properly clean the hotel.",805 NECHES STREET,9,POINT (-97.73708531 30.26922001),9,52,10,60,217,24
2020 101691-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Citizen is concerned about the sanitation and social distancing at the call center. Also is concerned that the contact center was not notified as a whole caller said it took 18 days for them to tell them someone was positive for the virus. Also worried because people are sharing desks.  COVID-19 .Social Distancing,1321 RUTHERFORD LANE,4,POINT (-97.6861938 30.33811201),4,47,9,17,63,78
2020 080890-CC,COVID-19,Parks,Social Distancing,,,05/28/2020 12:00:00 AM,05/28/2020 12:00:00 AM,City-Owned Property/No Violation(s) Found,covid-19 social distancingdove springs park,5801 AINEZ DRIVE BLDG  B,2,POINT (-97.73822222 30.18683439),2,25,4,61,484,20
2020 101706-CC,COVID-19,Restaurant,Over Occupancy,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,Closed due to Administrative Reasons,There are more than 10 people inside of the Popeyes on ben white. not social distancing.  COVID-19 .Over Occupancy,2101 W BEN WHITE BLVD EB,,POINT (-88.448709 24.923983),,,,,,
2020 091732-CC,COVID-19,Other,Face-Covering,,,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID-19 Report Social Distancing/Over Occupancy   - SR # 20-00243838;:  Caller stated they are at 100% capacity. Stated that the business isn't cleaning. Nobody is required to wear a mask. Caller stated he advised he job he wasn't comfortable working until they followed property guidelines and stated he was fire. Caller stated that HR advised him it was ridiculous to hire anybody to clean and for him to be proactive to clean the hotel and find cleaning products. Caller was front desk agent not housekeeping, stated they cleaning procedures are the same as before the pandemic and they don't have time to properly clean the hotel.",805 NECHES STREET,9,POINT (-97.73708531 30.26922001),9,52,10,60,217,24
2020 091746-CC,COVID-19,Other,Social Distancing,,,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID19  SR #: 20-00244105 Caller stated there is no social distancing. no mask, full contact in the VIP section",4134 FELTER LANE,2,POINT (-97.7058556 30.19668122),2,25,4,,484,20
2020 091384-CC,COVID-19,Other,Face-Covering,,,06/19/2020 12:00:00 AM,06/20/2020 12:00:00 AM,COVID-19/Education Provided,COVID-1920-00241264 Walmart not enforcing facial mask violation,710 E BEN WHITE BLVD SVRD WB,3,POINT (-97.75439371 30.22000304),3,9,3,37,217,75
2020 091596-CC,COVID-19,Other,Social Distancing,,,06/19/2020 12:00:00 AM,06/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Report Social Distancing/Over Occupancy,3600 S IH 35 SVRD SB,3,POINT (-97.7488875 30.22235985),3,9,3,37,217,75
2020 091748-CC,COVID-19,Other,Social Distancing,,,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID19 SR #: 20-00244109 full contact dances, no social distance",3615 S CONGRESS AVENUE,3,POINT (-97.76098441 30.22724755),3,9,3,37,217,75
2020 091742-CC,COVID-19,Residential,Social Distancing,,,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19  SR #: 20-00244043 having a party tonight a lot of people parked out going inside of home,5916 SPEYSIDE DRIVE,1,POINT (-97.61137857 30.36614841),1,2,8,,217,5
2020 055867-CC,COVID-19,Residential,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 SF - backyard gathering,2900 DUBLIN DRIVE,5,POINT (-97.81328397 30.21703858),5,5,1,83,373,23
2020 067028-CC,COVID-19,Residential,Social Distancing,,,04/29/2020 12:00:00 AM,04/29/2020 12:00:00 AM,COVID-19/Education Provided,Covid 19 SR #: 20-0168383,1211 QUAKER RIDGE DRIVE,8,POINT (-97.83307771 30.28489095),,10,2,,179,29
2020 067307-CC,COVID-19,Residential,Eviction,,,04/30/2020 12:00:00 AM,04/30/2020 12:00:00 AM,COVID-19/Education Provided,COVID19EVICTIONSR#20-00160896,8001 GESSNER DRIVE UNIT  134,4,POINT (-97.70238717 30.34345269),4,47,9,54,63,78
2020 065035-CC,COVID-19,Residential,Social Distancing,,,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,COVID-19/Verbal Warning Issued,SOCIAL DISTANCING,5304 BASSWOOD LANE,1,POINT (-97.67676133 30.29668594),1,19,8,26,309,33
2020 068414-CC,COVID-19,Residential,Social Distancing,,,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCIAL GATHERING,304 EAGLE LOOKOUT DRIVE,,POINT (-97.87710464 30.3317488),,21,,,540,67
2020 068454-CC,COVID-19,Other,Social Distancing,,,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,COVID-19/Education Provided,COVDI19NO SOCIAL DISTANCING,9020 TUSCANY WAY,1,POINT (-97.66137006 30.33730011),1,50,8,,217,77
2020 055193-CC,COVID-19,Parks,Social Distancing,,,04/05/2020 12:00:00 AM,04/05/2020 12:00:00 AM,City-Owned Property/No Violation(s) Found,COVID 19 GIVENS PARK,3811 E 12TH STREET,1,POINT (-97.69033868 30.27676938),1,4,8,81,309,62
2020 064888-CC,COVID-19,Residential,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID197+PEOPLE GATHERINGNO PPE,1204 W OLTORF STREET,9,POINT (-97.76707816 30.24512308),9,9,10,42,217,75
2020 065012-CC,COVID-19,Residential,Social Distancing,,,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SOCIAL DISTANCING,1813 MORROW STREET,7,POINT (-97.72837776 30.34959781),7,3,7,89,217,16
2020 101338-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/08/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Caller wants to report the workers wearing the inappropriate and cooks are not wearing mask and the customers are not wearing the mask in the restaurant/store  COVID-19 .Face Covering Non-Compliance - Business,5405 S PLEASANT VALLEY ROAD,2,POINT (-97.74416273 30.19345917),2,25,4,39,484,20
2020 101941-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,convenience store  COVID-19 .Face Covering Non-Compliance - Business,4511 AIRPORT BOULEVARD,9,POINT (-97.71547717 30.30382488),9,6,10,68,217,65
2020 056088-CC,COVID-19,Other,Over Occupancy,,,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,COVID-19/Education Provided,HEB / Over Occupancy at Business or Gathering,9414 N LAMAR BOULEVARD,4,POINT (-97.69790118 30.36499055),4,47,9,16,217,18
2020 102052-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,employees not wearing them  COVID-19 .Face Covering Non-Compliance - Business,12200 RESEARCH BLVD SB,,POINT (-88.448709 24.923983),,,,,,
2020 055355-CC,COVID-19,Other,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Trader Joes-Not Practicing Social Distancing,9722 GREAT HILLS TRAIL,10,POINT (-97.75202077 30.39492257),10,51,5,,540,58
2020 101730-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,Closed due to Administrative Reasons,"Caller stated that someone was panhandling at HEBs parking lot, and was inside of the store not wearing their mask at all, and they were concerned about the safety due to him not wearing the mask. Caller wanted to provide a description of this individual as well. They said the individual had a red shirt on, caller said they had on shorts, and a mask on their chin. They said this is a person of color as well.  COVID-19 .Face Covering Non-Compliance - Business",5808 BURNET ROAD,7,POINT (-97.74108411 30.33425256),7,12,7,53,217,7
2020 101932-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,IRS managers not making employees wear mask. Managers also dont wear mask  COVID-19 .Face Covering Non-Compliance - Business,5015 S IH 35  NB,2,POINT (-97.75832156 30.20453636),2,25,4,39,484,20
2020 055788-CC,COVID-19,Schools,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19  Juan Navarro High SchoolAt the soccer field,1201 PAYTON GIN ROAD,4,POINT (-97.70851004 30.36134108),4,22,9,16,63,18
2020 064872-CC,COVID-19,Residential,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,City-Owned Property/No Violation(s) Found,COVID19LARGE GATHERINGSOCIAL DISTANCING,710 (712) AZIE MORTON ROAD,5,POINT (-97.7672774 30.2625696),5,9,1,93,217,75
2020 055636-CC,COVID-19,Other,Non-essential Business,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,-L&A Hair Salon-Not Practicing Social Distancing,4201 S CONGRESS AVENUE,3,POINT (-97.76457828 30.22079043),3,5,3,5,373,23
2020 060428-CC,COVID-19,Residential,Social Distancing,,,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCIAL DISTANCING,2612 ZACH SCOTT STREET,9,POINT (-97.69779044 30.29456847),9,19,10,38,309,33
2020 055845-CC,COVID-19,Parks,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,City-Owned Property/No Violation(s) Found,COVID 19Ramsey Parklarge group playing basketball,4301 ROSEDALE AVENUE,10,POINT (-97.74388439 30.31328597),10,12,5,74,217,7
2020 059972-CC,COVID-19,Parks,Social Distancing,,,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19Battle Bend Park/Over Occupancy -,121 SHERATON AVENUE,3,POINT (-97.76779099 30.21442271),3,5,3,5,373,23
2020 055880-CC,COVID-19,Other,Over Occupancy,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,200 ARNULFO ALONSO WAY,8,POINT (-97.77673271 30.2734376),8,10,2,,126,29
2020 059846-CC,COVID-19,Schools,Social Distancing,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19PLAYING SOCCER,12135 THOMPKINS DRIVE,1,POINT (-97.65955073 30.38841683),1,47,8,,217,78
2020 068644-CC,COVID-19,Restaurant,Social Distancing,,,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID 19Taco More East Riverside DriveI arrived and there was hardly anyone there, they were abiding by the 6 ft apart and I could see the employees cleaning. However, after I was sat to eat, a line began to form. I decided to leave immediately, as nobody was regulating the 6 ft apart or requiring face masks. You can see this in the photo.",2015 E RIVERSIDE DRIVE,3,POINT (-97.72786625 30.23964247),3,8,3,64,309,55
2020 055657-CC,COVID-19,Residential,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,-Heatherwood Apartments Building 2-Over Occupancy/Not Practicing Social Distancing,5608 COUGAR DRIVE,2,POINT (-97.78541638 30.20895135),2,5,4,65,373,23
2020 054300-CC,COVID-19,Other,Over Occupancy,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,4404 BURNET ROAD,10,POINT (-97.74242824 30.31443164),10,12,5,74,217,7
2020 055754-CC,COVID-19,Parks,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,City-Owned Property/No Violation(s) Found,COVID 19 Longview Neighborhood ParkBasketball Court Area,7609 LONGVIEW ROAD,5,POINT (-97.82694257 30.2031482),5,5,1,,62,23
2020 056219-CC,COVID-19,Parks,Social Distancing,,,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,COVID-19/Education Provided,Beverly S. Sheffield Northwest District Park / Over crowed closed facility - people are playing tennis at the courts.,7000 ARDATH STREET,7,POINT (-97.74014497 30.34896169),7,3,7,53,217,16
2020 051824-CC,COVID-19,Other,Other,,,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19,,,POINT (-88.448709 24.923983),,,,,,
2020 055819-CC,COVID-19,Other,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,6620 BLUE BLUFF ROAD,1,POINT (-97.60872034 30.28284493),1,46,8,,309,8
2020 055809-CC,COVID-19,Schools,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19Northeast Early College High Schoollarge group playing soccer,7104 BERKMAN DRIVE,1,POINT (-97.69002432 30.32401834),1,40,8,91,63,3
2020 055859-CC,COVID-19,Other,Over Occupancy,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SR#: 20-00134221,6001 S IH 35 SVRD NB UNIT  B,2,POINT (-97.76488574 30.19577744),2,25,4,,484,20
2020 055858-CC,COVID-19,Residential,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,2029 MC CLOSKEY STREET,9,POINT (-97.70382651 30.29270049),9,19,10,38,309,33
2020 055823-CC,COVID-19,Schools,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 McCallum Arts CenterOVER OCCUPANCY,3025 CROSSCREEK DRIVE,7,POINT (-97.73325878 30.36946092),7,3,7,95,217,16
2020 064464-CC,COVID-19,Other,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19    SR #: 20-00160649,7301 BURNET ROAD UNIT  100,7,POINT (-97.73522433 30.34859259),7,3,7,89,217,16
2020 101442-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"**APD Teleserve Request**APD Notes: The Texas Rowing Center at 1541 W Cesar Chavez is supposed to be closed, but their rental boats are out on the water. Any questions contact APD at 512-974-0911 and ask for Baker radio.  COVID-19 .Over Occupancy",1541 W CESAR CHAVEZ STREET,9,POINT (-97.76844209 30.27174616),9,26,10,,217,69
2020 055781-CC,COVID-19,Residential,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,5806 CHERRY PARK,2,POINT (-97.78721187 30.20753766),2,5,4,65,373,23
2020 091720-CC,COVID-19,Restaurant,Face-Covering,,,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19  SR #: 20-00243845 Received via Mobile App SR# 20-00243194: Full bar/patio and no people were wearing masks or social distancing.,2020 E CESAR CHAVEZ STREET,3,POINT (-97.72273252 30.25666684),3,7,3,66,309,1
2020 065060-CC,COVID-19,Residential,Social Distancing,,,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SOCIAL DISTANCING,1710 GOODRICH AVENUE,5,POINT (-97.77073178 30.25325465),5,9,1,2,217,75
2020 056085-CC,COVID-19,Other,Social Distancing,,,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,still practicing tennis lots of kids gathered together not practicing social distancing,4207 RIVER PLACE BOULEVARD,6,POINT (-97.86062555 30.3692732),6,31,6,,540,6
2020 101542-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,Closed/Duplicate Case,"Caller is needing to report that he went to a Jeep business yesterday and he noticed none of the employees were wearing face masks. Caller says they came right up to him very close , and it was very uncomfortable. Caller says they even told him  youre not going to get sick what are you worried about  COVID-19 .Face Covering Non-Compliance - Business",603 WILLIAMS STREET,4,POINT (-97.71886604 30.33415238),4,40,9,62,217,3
2020 065018-CC,COVID-19,Residential,Social Distancing,,,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,COVID-19/Education Provided,SOCIAL DISTANCING,1110 W 22ND HALF STREET,9,POINT (-97.75046531 30.28688302),9,43,10,88,217,50
2020 101176-CC,COVID-19,Residential,Eviction,,,07/08/2020 12:00:00 AM,07/09/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19 .Eviction,3411 BRIDLE PATH,10,POINT (-97.77855383 30.29548247),10,26,5,6,126,69
2020 064869-CC,COVID-19,Parks,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19,7004 ONION CREEK DRIVE,2,POINT (-97.74365297 30.17134181),2,25,4,,484,20
2020 069318-CC,COVID-19,Other,Social Distancing,,,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19SOCIAL DISTANCING / OVER OCCUPANCY,505 W SLAUGHTER LANE,5,POINT (-97.79840855 30.17095044),5,37,1,,329,22
2020 059864-CC,COVID-19,Other,Social Distancing,,,04/15/2020 12:00:00 AM,04/17/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID19 Homeless camping creating a huge waste mess under I-35 at 41st and north of 41st. Grocery carts, garbage, mattresses, various plastic containers and debris. Not sanitary. And a Covid19 testing center only about 100 yards away. Disgrace. City mandates wearing masks. Homeless camping not social distancing , no masks. Priorities are messed up with city officials. Get rid of camping its a severe health risk to everyone.",4104 N IH 35 SVRD SB,,POINT (-88.448709 24.923983),,,,,,
2020 055865-CC,COVID-19,Schools,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,COVID-19/Education Provided,SR#: 20-00134238,3105 HUNT TRAIL,7,POINT (-97.74969781 30.34458753),7,3,7,53,217,16
2020 068484-CC,COVID-19,Residential,Social Distancing,,,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,COVID-19/Education Provided,COVID19SOCIAL DISTANCING,8512 FALL MEADOW LANE,2,POINT (-97.74306893 30.15362099),2,36,4,,484,4
2020 064862-CC,COVID-19,Residential,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,COVID-19/Education Provided,COVID19OVER OCCUPANCY NO SOCIAL DISTANCING,110 SAN ANTONIO STREET,9,POINT (-97.74916676 30.26529777),9,52,10,60,217,24
2020 064871-CC,COVID-19,Schools,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID1912+PEOPLE PLAYING SOCCER,12135 THOMPKINS DRIVE,1,POINT (-97.65955073 30.38841683),1,47,8,,217,78
2020 069388-CC,COVID-19,Other,Social Distancing,,,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,Closed/Duplicate Case,COVID-19 - SOCIAL DISTANCING NOT BEING PRACTICED AT THE LOCATION.,505 W SLAUGHTER LANE,5,POINT (-97.79840855 30.17095044),5,37,1,,329,22
2020 055837-CC,COVID-19,Schools,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,1601 HASKELL STREET,3,POINT (-97.73012382 30.25284849),3,7,3,35,309,1
2020 055878-CC,COVID-19,Churches,Social Distancing,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SR#: 20-00134056 COVID 19,1314 E OLTORF STREET UNIT  E,9,POINT (-97.74259968 30.23448165),9,9,10,49,217,75
2020 064668-CC,COVID-19,Residential,Social Distancing,,,04/24/2020 12:00:00 AM,04/24/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19   SR #: 20-00161124,10505 S IH 35 SVRD NB BLDG  1,5,POINT (-97.79066241 30.14579795),5,36,1,,484,4
2020 055951-CC,COVID-19,Other,Non-essential Business,,,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Furia Western Wear / Business not essential still open for business,5717 S IH 35 SVRD NB,2,POINT (-97.76334537 30.19723821),2,25,4,,484,20
2020 055181-CC,COVID-19,Parks,Social Distancing,,,04/05/2020 12:00:00 AM,04/05/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19River Place Nature Trail  Canyon Trailheadabout 25 vehicles on the trail,4500 RIVER PLACE BOULEVARD,6,POINT (-97.85911836 30.37156762),6,31,6,,540,6
2020 055791-CC,COVID-19,Churches,Over Occupancy,,,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 over occupancy,5501 W US 290 HIGHWAY EB,8,POINT (-97.84087076 30.23553756),8,38,2,11,126,53
2020 101447-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,COVID-19/Education Provided,"workers and visitors are not wearing masks,  sitting in offices and common areas with no masks,  employees lock doors so that when people come they have to be let in so workers can put masks on temporarily  COVID-19 .Face Covering Non-Compliance - Business",11776 JOLLYVILLE ROAD UNIT 100,10,POINT (-97.75435895 30.42078207),10,51,5,,540,58
2020 101664-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/09/2020 12:00:00 AM,07/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,On the door is says no worries no mask.  COVID-19 .Face Covering Non-Compliance - Business,500 E BEN WHITE BLVD WB D-100,,POINT (-88.448709 24.923983),,,,,,
2020 062490-CC,COVID-19,Parks,Social Distancing,,,04/20/2020 12:00:00 AM,04/20/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19Bull Creek District Park - Main Entranceapprox. 60 vehicles parked,6701 LAKEWOOD DRIVE,10,POINT (-97.78724986 30.36591575),10,17,5,,217,66
2020 050729-CC,COVID-19,Residential,Social Distancing,,,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANCY,5908 FLORENCIA LANE,1,POINT (-97.64332996 30.29054835),1,46,8,,309,8
2020 050894-CC,COVID-19,Other,Over Occupancy,,,03/26/2020 12:00:00 AM,03/27/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANCY,3401 WILLOWRUN COVE,3,POINT (-97.75436717 30.22609961),3,9,3,37,217,75
2020 101322-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/08/2020 12:00:00 AM,07/09/2020 12:00:00 AM,Closed due to Voluntary Compliance,"in the business office area where only employees are allowed they are not wearing a mask, there are about 5 manger not wearing the mask  COVID-19 .Face Covering Non-Compliance - Business",5929 BALCONES DRIVE,10,POINT (-97.75367328 30.34239089),10,17,5,,217,66
2020 056255-CC,COVID-19,Other,Social Distancing,,,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Northwest YMCA of Austin,5807 MC NEIL DRIVE,,POINT (-97.73347317 30.44614862),,24,,,540,36
2020 059164-CC,COVID-19,Other,Over Occupancy,,,04/13/2020 12:00:00 AM,04/13/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19SR #: 20-00144834 ,2121 E OLTORF STREET UNIT  10,3,POINT (-97.73258113 30.23015312),3,8,3,76,309,55
2020 050467-CC,COVID-19,Other,Over Occupancy,,,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANCY,4115 S CAPITAL OF TEXAS HIGHWAY NB,5,POINT (-97.79583181 30.23746697),5,9,1,93,217,75
2020 054298-CC,COVID-19,Construction,Social Distancing,Non-Referral,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19CONSTRUCTION SITE,1101 JEWELL STREET,9,POINT (-97.76078801 30.25239803),9,9,10,42,217,75
2020 050955-CC,COVID-19,Residential,Social Distancing,,,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANCY,1113 BANISTER LANE,5,POINT (-97.77677315 30.22998395),5,9,1,22,441,75
2020 051329-CC,COVID-19,Residential,Social Distancing,,,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 OVER OCCUPANCY,9601 PARKFIELD DRIVE,4,POINT (-97.70449376 30.37028004),4,22,9,16,217,18
2020 050652-CC,COVID-19,Parks,Social Distancing,,,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANY,4550 MUELLER BOULEVARD,9,POINT (-97.7073445 30.29720719),9,11,10,38,309,33
2020 051958-CC,COVID-19,Other,Over Occupancy,,,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Over occupancy,2519 SCARBROUGH DRIVE,7,POINT (-97.67356134 30.46132823),7,28,7,,540,48
2020 052045-CC,COVID-19,Residential,Social Distancing,,,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19,8313 KROMER STREET,7,POINT (-97.71868189 30.35825116),7,3,7,9,217,16
